name,age,position,team
Joel Embiid,28,C,PHI
Luka Dončić,23,PG,DAL
Damian Lillard,32,PG,POR
Shai Gilgeous-Alexander,24,PG,OKC
Giannis Antetokounmpo,28,PF,MIL
Jayson Tatum,24,SF,BOS
Stephen Curry,34,PG,GSW
Kevin Durant,34,PF,BRK
Kevin Durant,34,PF,PHO
LeBron James,38,PF,LAL
Donovan Mitchell,26,SG,CLE
Devin Booker,26,SG,PHO
Kyrie Irving,30,PG,BRK
Kyrie Irving,30,SG,DAL
Jaylen Brown,26,SF,BOS
Ja Morant,23,PG,MEM
Trae Young,24,PG,ATL
Zion Williamson,22,PF,NOP
Anthony Davis,29,C,LAL
Lauri Markkanen,25,PF,UTA
Julius Randle,28,PF,NYK
De'Aaron Fox,25,PG,SAC
Zach LaVine,27,SG,CHI
Brandon Ingram,25,SF,NOP
Anthony Edwards,21,SG,MIN
DeMar DeRozan,33,SF,CHI
Nikola Jokić,27,C,DEN
Pascal Siakam,28,PF,TOR
Jalen Brunson,26,PG,NYK
Paul George,32,SF,LAC
Kawhi Leonard,31,SF,LAC
LaMelo Ball,21,PG,CHO
Bradley Beal,29,SG,WAS
Kristaps Porziņģis,27,C,WAS
Jimmy Butler,33,PF,MIA
Jalen Green,20,SG,HOU
Keldon Johnson,23,SF,SAS
Klay Thompson,32,SF,GSW
Bojan Bogdanović,33,PF,DET
Darius Garland,23,PG,CLE
Desmond Bane,24,SG,MEM
Kyle Kuzma,27,PF,WAS
Terry Rozier,28,SG,CHO
Anfernee Simons,23,SG,POR
James Harden,33,PG,PHI
CJ McCollum,31,PG,NOP
Jordan Clarkson,30,SG,UTA
Karl-Anthony Towns,27,PF,MIN
Tyrese Haliburton,22,PG,IND
Jerami Grant,28,PF,POR
Dejounte Murray,26,SG,ATL
Bam Adebayo,25,C,MIA
Jordan Poole,23,PG,GSW
Tyrese Maxey,22,SG,PHI
Kelly Oubre Jr.,27,SF,CHO
Mikal Bridges,26,SF,PHO
Mikal Bridges,26,SG,BRK
Tyler Herro,23,SG,MIA
Paolo Banchero,20,PF,ORL
Louis King,23,PF,PHI
Jamal Murray,25,PG,DEN
Cade Cunningham,21,PG,DET
RJ Barrett,22,SG,NYK
Jrue Holiday,32,PG,MIL
Fred VanVleet,28,PG,TOR
Kevin Porter Jr.,22,PG,HOU
Domantas Sabonis,26,C,SAC
Jaren Jackson Jr.,23,C,MEM
Franz Wagner,21,SF,ORL
Devin Vassell,22,SG,SAS
Deandre Ayton,24,C,PHO
Myles Turner,26,C,IND
D'Angelo Russell,26,PG,MIN
D'Angelo Russell,26,PG,LAL
Nikola Vučević,32,C,CHI
Michael Porter Jr.,24,SF,DEN
Gary Trent Jr.,24,SG,TOR
Spencer Dinwiddie,29,SG,DAL
