name,ppg,rpg,apg,fg_pct,three_pt_pct,spg,bpg,tov,freethrow_pct
Joel Embiid,,10.2,4.2,.548,.330,1.0,1.7,3.4,.857
Luka Dončić,32.4,8.6,8.0,.496,.342,1.4,0.5,3.6,.742
Damian Lillard,32.2,4.8,7.3,.463,.371,0.9,0.3,3.3,.914
Shai Gilgeous-Alexander,31.4,4.8,5.5,.510,.345,1.6,1.0,2.8,.905
Giannis Antetokounmpo,31.1,11.8,5.7,.553,.275,0.8,0.8,3.9,.645
Jayson Tatum,30.1,8.8,4.6,.466,.350,1.1,0.7,2.9,.854
Stephen Curry,29.4,6.1,6.3,.493,.427,0.9,0.4,3.2,.915
Kevin Durant,29.7,6.7,5.3,.559,.376,0.8,1.5,3.5,.934
Kevin Durant,26.0,6.4,3.5,.570,.537,0.3,1.3,2.5,.833
LeBron James,28.9,8.3,6.8,.500,.321,0.9,0.6,3.2,.768
Donovan Mitchell,28.3,4.3,4.4,.484,.386,1.5,0.4,2.6,.867
Devin Booker,27.8,4.5,5.5,.494,.351,1.0,0.3,2.7,.855
Kyrie Irving,27.1,5.1,5.3,.486,.374,1.0,0.8,2.3,.883
Kyrie Irving,27.0,5.0,6.0,.510,.392,1.3,0.6,1.9,.947
Jaylen Brown,26.6,6.9,3.5,.491,.335,1.1,0.4,2.9,.765
Ja Morant,26.2,5.9,8.1,.466,.307,1.1,0.3,3.4,.748
Trae Young,26.2,3.0,10.2,.429,.335,1.1,0.1,4.1,.886
Zion Williamson,26.0,7.0,4.6,.608,.368,1.1,0.6,3.4,.714
Anthony Davis,25.9,12.5,2.6,.563,.257,1.1,2.0,2.2,.784
Lauri Markkanen,25.6,8.6,1.9,.499,.391,0.6,0.6,1.9,.875
Julius Randle,25.1,10.0,4.1,.459,.343,0.6,0.3,2.8,.757
De'Aaron Fox,25.0,4.2,6.1,.512,.324,1.1,0.3,2.5,.780
Zach LaVine,24.8,4.5,4.2,.485,.375,0.9,0.2,2.5,.848
Brandon Ingram,24.7,5.5,5.8,.484,.390,0.7,0.4,3.3,.882
Anthony Edwards,24.6,5.8,4.4,.459,.369,1.6,0.7,3.3,.756
DeMar DeRozan,24.5,4.6,5.1,.504,.324,1.1,0.5,2.1,.872
